,text,emotion_label,stress_label
1585,malu buat bilang haha agak takut jug,anxious,0.85
1586,ngeri bgtt gituu di ciduk,anxious,0.77
1587,mendengar hp bunyi teh sekarng malah takut.. takut dapat kabar buruk,anxious,0.79
1588,"kata gw mimpi paling buruk tuh mimpi jadi pembunuh sumpah. gw sepanjang mimpi kaya stress sndiri ini gw kudu nyembunyiin mayatnya dmn trus gw kudu buat script apaa. sedih, takut, nyesel, panik, jadi satu. anjirlah stressful mampus.",anxious,0.79
1589,kaget bgt liat om kungya masuk base sjdkdkkdldlr,anxious,0.87
1590,"kaget lg ke toilet udh banjir, ternyata d-1 langsung cek flow dan wow ternyata benarr akurat jg flow yakk selama ini gue pikir gue haid selalu mundur atau kecepetan seminggu",anxious,0.87
1591,"bismillah deh, gue masih takut soalnya kalo main warna pastel",anxious,0.77
1592,gue takut dm authornya apalagi boong umur pdhl dosaan baca gituan gasi gatau si,anxious,0.83
1593,"bangun jam 12.25 sesuai alarm, pas bangun panik bgt, hampir nangis karena kirain telat kelas. setelah beberapa detik baru inget kalo kelasnya jam 12.40",anxious,0.74
1594,ngeri skrg dikantor ada sisi tipi yang bisa ngomong,anxious,0.71
1595,tiba2 kok jdi takut kuliah offline ya,anxious,0.84
1596,"iya, takut ke",anxious,0.89
1597,gue juga takut.,anxious,0.81
1598,takut lah tgk draw gp b ni ya allah,anxious,0.74
1599,takut banget yatuhan sama cowo begini. padahal saya sendiri cowo,anxious,0.89
1600,gampang nanti ta pancing pake tambang timba tapi jangan dalam dalam takut ga nyampe..,anxious,0.85
1601,beraso nok makan biskut raya awal eh takut tokdei raya tahun ni,anxious,0.8
1602,bingung nonton skz apa treasure.. beda bulan tapi takut menyesal karena ga ada waktu,anxious,0.76
1603,wkwk kaget tbtb tur. adooh,anxious,0.71
1604,"klo dh offer tuh dh takut, mending kasih harga pas ny",anxious,0.71
1605,iyakan duh kalo udah kea gt takut banget tb2 beli tiket ke korea beneran,anxious,0.79
1606,malu woiiiiiiiii,anxious,0.8
1607,ako malu sekali,anxious,0.87
1608,takut ngga lulus kpi kah?,anxious,0.75
1609,agak ngeri ga segrup jangan2 ketemu di final,anxious,0.87
1610,"waktunya kurang tepat kalo mau ke indo apalagi disini masih meningkat tuh cvd, aku takut dia knp knp, apalagi akhir akhir ini jadwal dia banyak banget ,cukup di korea aja jangan ke indo dulu semoga",anxious,0.84
1611,"kaget loh, kenapa rame banget twtnya.. kirain ada apaan anjir",anxious,0.84
1612,masih kaget tb2 di jepang,anxious,0.88
1613,agak ngeri ya women nya,anxious,0.78
1614,jd takut buat pacaran lagi,anxious,0.88
1615,"aku gak kepikiran sampe kesitu ka, soalnya aku buru-buru karna itu wl aku takut keduluan orang",anxious,0.9
1616,ngeri bgt casenya,anxious,0.86
1617,"ngeri lo, dtg dtg twt ginian :"")",anxious,0.72
1618,hah takut bgt,anxious,0.73
1619,ngeri,anxious,0.83
1620,"hujannya awet ihh, takut banjir",anxious,0.84
1621,"teman-teman aku mau kasih info, aku bawa pulang lagi kucing aku karna dokternya lagi ga ada di petshopnya. aku takut kucing aku stress jd aku bawa pulang dulu, nanti kalau dokternya udah ada di tempat aku bawa lagi kesana.",anxious,0.77
1622,that takut ngebungkus tho,anxious,0.78
1623,gapake nama asli takut teemn rl tau wk,anxious,0.82
1624,ngakak anjir takut bgt wkwkkwkw,anxious,0.73
1625,"aku bukannya over atau lebay, aku cemburu, aku khawatir, aku bawel itu karna aku sayang dan takut kehilangan. itu aja. :')",anxious,0.75
1626,gua jadi takut ada temen rl tau akun inii soalnya bisa diliat dri kontak kan apalagi gua dftr akun ini pake no hp..,anxious,0.75
1627,"gue udh kaget jongu knp, rupany bnrn dikoms. udh panik",anxious,0.78
1628,malu typo ya nder saking nsjahss nya,anxious,0.78
1629,kok ngeri,anxious,0.77
1630,cuma kaget doang..,anxious,0.74
1631,"nanti dll, takut org bayar utang mamakku",anxious,0.78
1632,"soale takut ada yg macem macem, kalo bawa temen kan seenggaknya ada yg bisa bantuin.",anxious,0.86
1633,ipk 3.3 itu udah bagus ga sih?? takut banget mau kasih tau bokap kalo ipk segitu,anxious,0.9
1634,pensil warna ketemu tapi ga yakin. takut ngerusak gambarnya,anxious,0.75
1635,deg-degan nggak -tu ditanya habis nonton apa karena panik gw jawab habis nonton coboy junior addaffafsf,anxious,0.83
1636,"warga sudah jadi korban, mas. dengan teror dan intimidasi terus menerus, secara psikologi pasti sudah ada warga yang mengalami trauma. belum lagi waktu yang harusnya bisa mereka gunakan untuk kegiatan produktif, harus dihabiskan untuk menjaga tanah lingkungan mereka..",anxious,0.74
1637,aku masih pake se kamu mah ah udahlah aku malu,anxious,0.8
1638,kaget gw jelek bgt tolong,anxious,0.78
1639,winwin wayv tapi ini konten berbaayar gue kaget anjir masuk sini,anxious,0.83
1640,aw malu,anxious,0.86
1641,"kaget plus deg-degan pas ada pelanggan cewek yang negur saya pas lagi nongkrong di cafe. kayaknya si anak kedokteran ya, bening sama cantik bat, heran. mana suaranya lembut bat lagi, jadi keinget suaranya kak yessica",anxious,0.7
1642,"braw! ngeri bgt tiap hari ambulance lewat terus, stay safe guys kurangin nongkinyaa",anxious,0.87
1643,malu kali,anxious,0.72
1644,tapi takut ketuaan juga di jalan ya kan wkwk walaupun gue wfh selamanya,anxious,0.75
1645,ngeri,anxious,0.83
1646,"gue fikir baba ga ikut. malu bgt asw gadeng, malu aja haha :')",anxious,0.81
1647,gw panik tadi sempet ga balance trs gw ulang lagi dari awal,anxious,0.72
1648,"eh sumpah gw panik, udh upload foto ltmpt tp lupa udh gw save blm tp udh di unggah sm udh di crop",anxious,0.76
1649,dia anaknya juga jago banget gombal 11 12 sama ayem. aku takut meleyot,anxious,0.86
1650,lebih takut arab di puncak,anxious,0.9
1651,"bused sampai dua kali kirim. kata saya mah, mending sender muncul deh. dm saya coba, biar saya tahu. gak usah malu, dm saya terbuka luas, se-luas semesta. jangan buat saya penasaran tolong..",anxious,0.73
1652,"enaknya tuh makan bakso makji soalnya dari pagi hujan terus pengen beli makan tapi takut tiba"" hujan deres lagi",anxious,0.88
1653,"mau kaya gini pas ultah mendatang, tapi takut malah dijadiin bahan bullyan..",anxious,0.76
1654,yep truee lagi lagi the oldies kan semua macam takut for booster sebab baca news regarding post-booster effectsi mmg ingat nak walk in ppv dkt pwtc tu je nanti hahah,anxious,0.82
1655,ngeri bgt grup b.,anxious,0.89
1656,"cape gasi anjrit tiap hari di teror proposal mulu, tertekannn",anxious,0.83
1657,takut bgt lagi pilek,anxious,0.75
1658,"orang2 sudah pinter .. takut dosa, klo gak adil.. srkarang banyak yg pinter..tapu tidak ngerti, ilmu bukan diamalkan, tp disalah gunakan..",anxious,0.73
1659,gue takut dah jeongwoo merah,anxious,0.78
1660,laptopnya kaget itu,anxious,0.73
1661,"denger kata, foto-in satu-satu mukanya. dan yang bilang jendral bintang 4, mantang pangkostrad. warga kehormatan kopassus dan tentunya pimpinan tertinggi angkatan darat. ngeri bos..wkwk",anxious,0.73
1662,ket u gak takut kuliah hukum kah ket?,anxious,0.83
1663,"ml! cara ulti flicker ruby tu gimana ya? aku ulti malah flicker ke depan karna bingung pencet mana dulu hasilnya ketarik ngga, malu banget iya",anxious,0.71
1664,"pak tolong lah ringan kn beban sya jdi orang tua yg takut anak nya di vaksin, anak sya 9 tahun pak umur nya. dada nya sering sakit pak.. setelah vaksin satu! terkadang saya mau nekad aja utk bunuh diri karena terlalu tertekan mengenai vaksin ni pak. tolong sya pak!!",anxious,0.88
1665,mukanya tegang amat om puput kayak menanggung beban rakyat :'),anxious,0.78
1666,hahaha iya benerr aku pun kaget ternyata ujung2nya anak bio,anxious,0.84
1667,gue kaget bgt,anxious,0.85
1668,ku cium pipi kanan mu dan kau senyum terpesona bercampur malu,anxious,0.76
1669,kalau nak sniff sekarang kene hati hati takut kepam,anxious,0.81
1670,"ini kenapa jadi rame, kaget. mana qrt ghaibnya 4..",anxious,0.82
1671,"bertahun-tahun bertahan. hubungan lu sama pacar lu aman, lancar, tak ada kendala sampe lu bucin banget. tapi tiap liat crush lu lgsg kepikiran lagi. berusaha pengen tetep deket tapi takut melewati batas pertemanan.",anxious,0.82
1672,"nonton ulang video got step back dance practice di mv-nya, taeyon elegan bgt pindah dr pinggir ke tengah. pas liat seulgi, wah buset pindahnya lari dari pojok kanan ke tengah khawatir kesandung loh",anxious,0.89
1673,nonton drama sama mama trus ada kiss scene gue panik,anxious,0.81
1674,jadi malu,anxious,0.74
1675,kepleset di depan abang2 gojek udah sakit malu juga,anxious,0.87
1676,ngeri angine soalna jeng wkwk takut sakit,anxious,0.73
1677,"iya kk, ni kucing oyen sy galak banget betina pada takut :((",anxious,0.83
1678,lagi mau tanyain kabar tapi takut ganggu :(,anxious,0.7
1679,"jangan lupa ngingetin ayang buat makan dan minum, takut keselek ayangnya.",anxious,0.78
1680,aku lebih takut liat bird japan ketemu bam,anxious,0.84
1681,"ade org kata simpan sikit,, takut esok nak guna haha",anxious,0.75
1682,"wah iya, ngeri nih yg setim ma mas.",anxious,0.76
1683,kaget ada kekeyi wkwk,anxious,0.82
1684,iya itu di sana takut,anxious,0.79
1685,"ih temen kosku abis ikut ke venue gt kan acara prodinyaa, eh balik ke kos dia meriang nular ke satu kosan. skrg ak jg pilek meriang buhu jd takut",anxious,0.84
1686,aku yg takut,anxious,0.74
1687,"ya begitu lah hidup di cluster coronces, tiap hari panik selalu ada yg positif",anxious,0.85
1688,ngeri banget temenmu nder,anxious,0.75
1689,kaget loh kak msi pgi,anxious,0.85
1690,"idih nuning kabur dari space ka ciba .,, takut yah",anxious,0.73
1691,"udah resign dri tempat kerja tapi kok masih degdegan ya, takut kalo ketemu mantan bos di jalan :'(( kenapaa??",anxious,0.8
1692,malu,anxious,0.85
1693,jaga2 takut die terjun lg tu huhu,anxious,0.75
1694,pengen pede buat mens team tp takut jg kesandung wkwk cmn kayany grup neraka sih inimah,anxious,0.79
1695,malu bgt kalo inget moment jaman main rp,anxious,0.83
1696,"hahahaa takut, anaknya galak",anxious,0.84
1697,"mau berobat tapi takut banget :"")",anxious,0.82
1698,"takut banget, nggak ada tempat nyaman lagi buat cewek ""cowok memang otak sangean semuanya"" ""pengen pindah negara rasanya"" begitulah kurang lebihnya",anxious,0.83
1699,men's team gw yakin lolos tpi ms1 nya kita gw agak ragu klo md well we are the best at that,anxious,0.84
1700,"kena razia rok plisket padahal yg ngerazia pake rok plisket jg (kating) takut kalah saing padahal gada niat nyaingin, cm mencontoh",anxious,0.7
1701,sampe asma kambuh tapi bela2in gak minum obat karna takut teler dikantor.,anxious,0.73
1702,ngeri banget emak gue ngomel ngomel ke mahmud buat mengedukasi cara ngedidik anak haha,anxious,0.86
1703,takut mau nge up nyaa,anxious,0.83
1704,saya yang ngejalanin mah biasa aja.. cuma kadang kasihan keluarga aja takut mereka malu.,anxious,0.74
1705,gw takut bgt kaoru ngentott,anxious,0.86
1706,"orang indonesia ga ada takutnya kali cuman gw rasa mereka takut dengan agama baru yg dipaksakan percaya yaitu c19 rokok aja ada label orang sakit tulisan membunuh tetep aja dikonsumsi terus kecelakaan terbanyak adalah motor, usernya makin banyak ada bom aja deketin/kontenin",anxious,0.88
1707,walau tegang [real],anxious,0.9
1708,"tegang banget kak, santuy aja santuy..",anxious,0.89
1709,grub b ngeri kali,anxious,0.82
1710,blm nikah tpi habis baca ini malah jdi takut,anxious,0.82
1711,agak ngeri ya,anxious,0.86
1712,coy ngeri sekomplek wkwk sehat2 mat,anxious,0.86
1713,orang dulu siap mesyuarat satu kampung nak tentukan tarikh nikah takut bertindih susah orang kampung nak datang rewang.,anxious,0.78
1714,takut :(,anxious,0.74
1715,"kalian yg udah b00ster, efeknya gimana? gue masi lama si jadwalnya, cuma kok gue takut mau ambil b00ster, gue mikir ""b00ster"" efeknya lebih horor dari yg pertama",anxious,0.88
1716,karna takut tenggelam dlm lautan luka dlm,anxious,0.85
1717,"pp! boleh minta kritik dan saran? worth gak ya kalau jadi ready stock? takut malah flop gitu, tia",anxious,0.78
1718,jangan ah ak malu,anxious,0.74
1719,"iya sih, tapi ciwi ciwi ini agak naik turun. jadi kita saling takut",anxious,0.76
1720,"plis jgn liat rep gue dulu malu, untung dah di apus",anxious,0.83
1721,gw sih malu..klo digituin,anxious,0.9
1722,yakin ilangin mie ayam? ko aku ragu?,anxious,0.79
1723,"wordle 234 3/6 kaget sendiri, bisa-bisanya tebakan ketiga langsung keluar",anxious,0.86
1724,sir baik tak kena balik panggung mimpi ngeri..kuang kuang kuang..,anxious,0.86
1725,mvs euphoria s1 sender baru namatin yg s1 kok si rou ga mau naik kereta brg jules? trs pas di eps7 mcky beneran di ituin sama temen2 nya? di dpn cassie? sender kaget bgt,anxious,0.78
1726,aku takut ketekuk ini ngepas bgt sizenya,anxious,0.72
1727,pasarannya emang segitu kah?? kaget t__t,anxious,0.74
1728,gk bisa komen sih takut salah kata cuman ya.. agak gimana juga ya..,anxious,0.81
1729,"ya tuhan,pengen pacaran tapi takut berujung malah manfaatin anak orang. kan karma ada.",anxious,0.87
1730,mau duluin perasaan sendiri tapi takut kecewa,anxious,0.81
1731,"lho kaget, baru sadar",anxious,0.79
1732,niat mau bikin 13112th1)4y tvv1130n tertahan karna lagi bimbang ragu,anxious,0.83
1733,ngeri ekspedisi apa yg aman sekarang?,anxious,0.8
1734,aku takut nanti malem,anxious,0.76
1735,"serius, jadi kaget gue",anxious,0.7
1736,aku mau komen tapi takut wkwk :(,anxious,0.82
1737,group b se ngeri itu ya allah…,anxious,0.71
1738,kaget langsung bener,anxious,0.86
1739,"klo aku jidat yg sering tak tempelin dikaca ketika kondisi nungguin.. walhasil kacanya berembun,,njuk panik nyariin tisu..",anxious,0.82
1740,"tiap wtm dan nunggu lta, satu sisi si fmc nya juga dah ganti jadi x013692 gak sabar tapi ya ngeri dan wuaduu",anxious,0.71
1741,"a trivia, im being deadass. gue ga pernah dugem wkwk takut ngebungkus laki orang.",anxious,0.72
1742,"gak katla, ga wordle, yang hari ini bikin tegang semua.",anxious,0.89
1743,klo bener semua takut,anxious,0.78
1744,ngeri juga 5 quote gaib.,anxious,0.76
1745,"kompakan niyee, kaget, heran, geram sudah gak asing ditelinga.",anxious,0.88
1746,ngeri ngeri sedep,anxious,0.8
1747,"faktanya gua bahagia kenal dia, gua bahagia ketemu dia, bahkan jauh pun gua masih ngerasain bahagia.. yah walaupun kadang ada khawatir and cemburu, itu cuma karena gua terlalu sayang ama dia yang takut kehilangan dia.",anxious,0.76
1748,kenapa acc gede moa banyak yg rest moga cepet balik yaa duhh takut gue rada2 kepikiran dan sedikit trauma,anxious,0.73
1749,takut sm sembi,anxious,0.89
1750,alhamdulillah drawnya agak wangi tapi tetep takut,anxious,0.85
1751,g terbayang gw langsung panik,anxious,0.84
1752,kaget bgt tbtb jamet,anxious,0.73
1753,ini aku belum bilang ibu wkaka takut ga diboleih,anxious,0.81
1754,klo claimnya independent women aku khawatir si,anxious,0.78
1755,"me tp kazuha ganti yae, alias takut tp ttp percaya diri",anxious,0.76
1756,takut kaya dulu lagi wey,anxious,0.79
1757,lah kann pada salty ngapa dah ak baru twt kaget anjir,anxious,0.8
1758,"haduh, takut viral sama komentar saya yg itu nih. yg like ama yg komen jadi banyak bgt busetdahh",anxious,0.9
1759,"aku emg tidurnya slalu malem, tp plg malem jam 2 pagi sih, tp alhamdulillah aku bisa tidur di situasi kek gtu. soalnya aku lbih takut manusia drpd hantu. amit2 klo di situ ada manusia ngintip baru tuh g bsa tdur, kan serem bgtt",anxious,0.74
1760,pengen tidurr tapi takut kebablasan soalnya bentar lagi mo bimbel,anxious,0.71
1761,alamak .. ngeri kale ..,anxious,0.74
1762,"diberau ada konflik lagi antara dayak sama bugis, jd khawatir keadaan ayah, mana handphonenya g aktif di tlf, ayah :(",anxious,0.86
1763,dan chat mita di whatsapp official 0811-84-1400. hati-hati terhadap akun palsu yg mengatasnamakan bank mandiri dan meminta data rahasia. semoga sehat selalu. tks~kareen (end),anxious,0.84
1764,gue jadi ragu,anxious,0.88
1765,gua masih kaget ta):,anxious,0.89
1766,gara-gara rame soal kolbuk gue panik anjrit,anxious,0.73
1767,ya allah aku takut kalau ada host yang main ratio sama fanbase kpop :(,anxious,0.81
1768,yaallah mika angkasa w kaget gue kira cm ciuman biasa doang anjg di kebun aakghhghg,anxious,0.72
1769,kaget bgt tbtb mas crush ngucapin aaosjskajskansnsj sygnya dia pcr org gmn dong gue gabole baper,anxious,0.88
1770,"tambah ngeri aja ni,,",anxious,0.74
1771,ngeri bgt ini org sebelah gue..,anxious,0.71
1772,wkwk ngeri kali gaga,anxious,0.87
1773,"ini belum mulai dm, udah mules takut di block.",anxious,0.81
1774,"pengen ngerjain yoel, tapi takut diamuk duluan",anxious,0.89
1775,lo takut jg gk,anxious,0.79
1776,jangan terlalu byk kepo kurang2in kepo cek urg mah ntr takut jatuh cinta lg awas nanti km cinta,anxious,0.8
1777,bingung takut panik,anxious,0.84
1778,ikrr haha takut betul baca semua replies dekat post tu,anxious,0.82
1779,takut puasanya ga sah,anxious,0.78
1780,pertama kali beli kolbuk lucu bgtt tapi rada ragu buat makenya,anxious,0.74
1781,"kaga kak, gua cuma masih kaget..",anxious,0.74
1782,"i want to ask as bvyer klo kita dm minta pl dan over bvdget kita boleh ngabarin ""maaf ya kak over bvdget"" gitu gak sih? takut gak enak.. atau ada saran kalimat lain buat blsnya?",anxious,0.84
1783,ngeri euy,anxious,0.72
1784,anjir jun malu bgt nggak.. terus diapain abis itu..,anxious,0.73
1785,"hari ni pake baju pink ama celana item, takut dikatain blackpink",anxious,0.82
1786,kamu kesannya kaya ga butuh aku dude istg its not bcs i dont need you or smth tapi gue cuma gamau dikatain matre. mending ngasih bapak ibu mu karena mereka lebih pantes dapetin itu. kalo mau beliin aku sesuatu boleh tapi jangan sering sering takut beban :((,anxious,0.79
1787,ada masalah apa tigrealnya? aku sebagai user tigreal malu bgt,anxious,0.87
1788,ngeri ya canda nya,anxious,0.71
1789,agak ngeri yaa,anxious,0.72
1790,takut banget,anxious,0.79
1791,tolong panik ini melanda lagi,anxious,0.83
1792,"dimana tempat yang aman untuk perempuan? jadi makin takut korban kekerasan pada perempuan makin bnyk, orang tolol biadab bngt owasu",anxious,0.89
1793,"ketika lu punya pacar tapi tbtb ada seseorang yg lu suka. lu jadiin crush, tapi lu ga bisa apa apa karna gak mau selingkuh tapi ngerasa kalo perasaan lu gabisa diboongin. berusaha hapus perasaan tapi malah tak tertahan. mau lapor ayang takut malah dibuang.",anxious,0.82
1794,pengen poca date sama moots tapi takut awkward,anxious,0.86
1795,gue nangis bgttttttt da ah malu seneng kaget jd satu amatt,anxious,0.87
1796,malu japp sshh berapa haribulan tu btw,anxious,0.76
1797,tiba tiba banget aku kaget,anxious,0.81
1798,ngeri brodi kapal sebelah,anxious,0.87
1799,"rep aja bro, takut nanti nyesel belakangan",anxious,0.87
1800,malu ku bnar bnar malu,anxious,0.84
1801,"pen nyoba tapi takut aneh rasanya, rate 1-10 cil untuk rasanya",anxious,0.77
1802,takut nak amik spm tapi nak habes cepat,anxious,0.73
1803,"menurutku sih iya kayak, kalo jeleknya selesai tuh bikin marah-marah pengen bahas banyak, kalo jeleknya ini kayak.. shit malu banget yaudalah",anxious,0.86
1804,kaget kirain bakal zonk ehh ayang pulang,anxious,0.8
1805,gua masih kaget seriusan..,anxious,0.9
1806,"pelajaran aturan sinus cosinus ""ini segitiga apa"" aku reflek jwb ""segitiga sembarang"" ""segitiga abc"" pls malu bgt tp ga salah kan. shshsksjsjjh malu mana jawabnya kenceng bgtt",anxious,0.78
1807,ajg bgt mau litsus bukannya disemangatin elah w kan takut bgt,anxious,0.9
1808,"di sini masih enak banget sih bosnya keluargnya, ga tau gmna kalo doi beneran kerja ke tempat yg bener2 profesional. kaget sih pasti wkwk tapi bagus",anxious,0.81
1809,"rada ngeri yaa, apalagi stranger gitu",anxious,0.75
1810,"gabisa banget nyetel takut, i feel gonna cry",anxious,0.75
1811,anjwengg panik dikit ada,anxious,0.77
1812,takut ah tp wkwk,anxious,0.7
1813,jangan deh kalo balikan ntar takut muncul perang dunia lagi,anxious,0.86
1814,"ahaha betuls, takut kayak yang waktu kemarin udah pede salah nah yang sekarang bener",anxious,0.87
1815,om kok nyempil gitu. ngeri om,anxious,0.71
1816,ngeri bgt sih,anxious,0.7
1817,"dibonceng, bcs smpe skrg suka bego klo lampu merah kadang kelabas untung aja msh hidup. trs cape jg bwa mtr sndri + rada takut nyebrang klo ga modal nekat.",anxious,0.73
1818,malu banget tadi nangis dipergokin nyokap,anxious,0.74
1819,"ini dari kemarin kepala pusing, badan pegel pegel, flu, trs hari ini tenggorokan mulai sakit kenapa yaa :(( takut bangett",anxious,0.83
1820,dia doang yg melet2!!!! kaget akk,anxious,0.8
1821,tapi takut klu egois,anxious,0.78
1822,panik bgt tadi akunku ke logout sendiri,anxious,0.88
1823,takut bgt galak,anxious,0.82
1824,mau ketawa tapi takut,anxious,0.86
1825,kalo yang hockey summer masi bisa diliat lah ini kek pas oper oper pucknya tuh bisa ngepas gitu mana kan mereka lari sana sini liatnya takut pada kepleset,anxious,0.81
1826,nemu menfess yang gua banget. tapi ragu mau rep..,anxious,0.8
1827,"eh bukan deng wkwkw kaget bgt, anjir mana rompi osisnya mirip + belakang gedungnya mirip. pas liat badgenya bukan sekolah gw",anxious,0.75
1828,takut anjir,anxious,0.76
1829,hari ini belum ngerjain tugas samsek males banget takut numpuk tapi males,anxious,0.86
1830,"aslinya aku orang yang jarang bgt nelfon orang tua kalo lagi jauh, tp belakangan ini pengen denger suara mereka terus, walaupun mewek kalo lagi telfon tp sedikit bikin tenang. sehabis kelar telfon cemas lagi..",anxious,0.9
1831,"walaupun danpuspom anak buahnya emangnya lu kebal hukum, tugas puspom ga liat lu jendralnya tapi liat kasus hukumnya. bilang aja dung emang takut dikerangkeng.",anxious,0.77
1832,mau agak bar bar tapi agak takut juga kak,anxious,0.72
1833,aku salkir ke org astagfirullah malu,anxious,0.71
1834,"wkwkw infp bener bgtt. udah gelisah gelisah panik tapi tetep kek, ""haduh sebentar lah main farmville dulu"" ""duh ngantuk yaudahlah tidur dulu""",anxious,0.89
1835,gila malu banget lah,anxious,0.82
1836,rodo ngeri sedep bismillah iso yo iso semangat garuda muda,anxious,0.88
1837,ngeri ye..,anxious,0.71
1838,agak ngeri tp tetep semangat gurls!,anxious,0.83
1839,takut banget lohh ada cacing kepanasan ahah,anxious,0.84
1840,gue malu bgt di idm masuk wc cowo,anxious,0.86
1841,belum ge mulai .. kepala udah nyut-nyutan gini ngeri meledak aja sih,anxious,0.73
1842,pano anj gua kaget,anxious,0.7
1843,takut blunder lagi ya.jane nik bek kanan e ra dolop bisa lebih baik lagi,anxious,0.81
1844,ini sebenarnya pak richi ada rasa sama ibel tapi takut,anxious,0.77
1845,"eh tergantung kali ya nder, di ruangan kan make ac (biasanya) terus sekelas juga dikit, takut ganggu yang lain gak sih kalo buka fresh care secara wanginya itu nyegrak banget masuk hidung..",anxious,0.87
1846,takut ditinggal ayang..,anxious,0.71
1847,jangan disini ah malu,anxious,0.85
1848,emg dri dulu gak bgitu takut w sm ni virus. sungguh sgt percaya diri tp beneran alhamdulillah sehat trus,anxious,0.75
1849,takut ditabok,anxious,0.89
1850,"iya sih kalo pake jubah tp nonton sendirian agak malu, kalo ama temen masi agak ketolong",anxious,0.81
1851,takut abis barbar,anxious,0.74
1852,jiahaha ..biasanya yg curhat cewek.. dimedsos lagi. kasihan istrinya yg menanggung malu dikampung,anxious,0.75
1853,"pernah dijelasin, emg ngeri sih vi, tapii kepo bgt haha",anxious,0.7
1854,dia panas ada kali 2 hari sampe 39 deg2an bgt bun. ngeri step,anxious,0.83
1855,"malu banget anjirr, tadi ada yg teriak ""misi paket"", gue udah buru2 mau buka pintu, kirain paket gue udah dateng, taunya paketnya untuk rumah sebelah",anxious,0.84
1856,kata gw admin seluruh warga somethinc lg panik huft,anxious,0.74
1857,mau tidur tp takut kebablasan,anxious,0.74
1858,ini si zam ngapain dm gue? gue takut anying,anxious,0.86
1859,kebanyakan follow takut limit,anxious,0.88
1860,"jends, kalian ada yg udh pernah nyoba skintific moist?? bagus gasi? ak mau beli tp masi ragu soalnya harganya lumayann",anxious,0.79
1861,iya makanya gue takut banget,anxious,0.89
1862,knp chat sama pembina deg deg an takut gt ya,anxious,0.83
1863,iya sis udah takut gosong soalnya kalo ga dibalik,anxious,0.75
1864,"gada hantu2nya, seremnya karna psikopat yg ada disekitar yg bs ngebunuh kapan aja. saya baru nyampe eps 4 tapi, lebih ngeri dr pd hantu2 vibesnya.",anxious,0.82
1865,biyen smp sma paling seneng olahraga . dadi ora khawatir jg sih nek dikokon roll depan belakang.,anxious,0.76
1866,". masya allah. awalnya gue suka dengerin lagu lagu klasik gitu pas menjelang mau tidur, tapi trus temen gue bilang ""gimana kalo lu meninggal nanti disetelinnya kpop bukan al quran"" takut gue",anxious,0.75
1867,takut..,anxious,0.83
1868,anjerr ngeri boss,anxious,0.85
1869,takut - takut,anxious,0.88
1870,srs rasa nak main member haha takut nak mintak,anxious,0.71
1871,"ke papua takut melanggar ham kata nya dung dung, beraninya sama rakyat sipil yg tidak bersenjata banyak banyak istighfar liat nya",anxious,0.81
1872,ini gegara sebelom tidur gw panik akun ltmpt panik jurusan kuliah,anxious,0.79
1873,anj suaranya deep bgt takut,anxious,0.76
1874,"ngga sih, gue malu soalnya pake baju haram. ga terbiasa juga pergi2 pake baju begitu",anxious,0.88
1875,gue takut..,anxious,0.8
1876,tim zombie yang meningoy *takut gadapet univ tapi pen tep rebahan,anxious,0.87
1877,"iya bener, soalnya takut kelupaan, takut lama karena bingung terus kasian yg antri",anxious,0.83
1878,mens team ngeri banget,anxious,0.89
1879,"ngeri, nganti dimakamkan di satu liang",anxious,0.8
1880,kenapa aku kalo reflek tuh suka malu maluin diri sendiri,anxious,0.84
1881,yg blm gw fb bentar ya aksjsj gue takut limit,anxious,0.83
1882,si indy malu sampe ke ubun ubun,anxious,0.74
1883,"bused, agak ngeri notifnya",anxious,0.89
1884,"kemarin ada yg menyandingkan bung karno dengan munarman, sekarang giliran haikal ngoceh ttg bung karno. kelihatan terstruktur dan sistematis. ada nuansa adu domba (supaya pdip dan nasionalis lainnya ngamuk). ada pula nuansa mengaburkan sejarah. ngeri..",anxious,0.72
1885,"iya ya dulu ifnt banyak muncul di variety shows, lvlz lumayan meskipun lama2 mulai berkurang juga. ga ngerti deh di balik layar kek apa soalnya dunia showbiz kadang bisa ngeri banget kompetisinya.",anxious,0.8
1886,"wkwkkw malu bat anjg, bilang kangen kangen tapi gada yang peduli",anxious,0.71
1887,"oh, iya ngeri banget sampe keluar ususnya, matanya dicolok, badannya kepotong yg ditangga",anxious,0.85
1888,anjir takut diomelin,anxious,0.87
1889,lagi kerja disemangatin sama si cantik yang belum mandi gara gara takut beku,anxious,0.85
1890,gw yang punya aja terkejut mei,anxious,0.89
1891,non moots lagi ya allah bye ah malu,anxious,0.86
1892,"takut bgt karna kepala pusing, tenggorokan mulai serak dan badan anget :"" untung kemajuan teknologi di tahun 2022 ini menyelamatkan anak kost sepertiku :') terimakasih gomart",anxious,0.77
1893,"jujur gue juga panik, bikin keinget rasa sakitnya kayak apa selama 3 minggu :(",anxious,0.86
1894,malu tapi,anxious,0.83
1895,pengen pisang kopi klotok tapi takut copid,anxious,0.83
1896,"kaget kirain akun temen ku, dn sama ava sama",anxious,0.84
1897,ngeri bgt dah kek drama thriller psikopat,anxious,0.86
1898,takut sepi tapi yang lain tak berarti.,anxious,0.83
1899,umi pagi2 jangan marah-marah ya,anxious,0.82
