clean_text,emotion_label,stress_label
emosi tidak akan bimbing pikir tindak positif tenang teens paulina,neutral,0.2
anjing korupsi kabar maling ayam lapar hak makan pejabata manusia indonesia oh indonesia miris banget negara,angry,0.97
maksud sedih,neutral,0.24
ya marah tau,neutral,0.31
dekap sepi sudut sunyi simpul tali ikat kasih gapai rindu cabik pilu hati ukir nama ilu,sad,0.73
ala alah alah murung kejap lucu,sad,0.78
ya allah lihat menang sedih tertawa sama huhuhuhuhu,sad,0.73
benci menang teman,sad,0.53
bangun kumpul nyawa sedih anak jepangku mana ya gambar pagi minggu tidak ada kabar semangat,sad,0.57
tahun lihat shanks tarung direct message banget tonton ulang banget banget kerja ya tonton op tidak sih episode santai nontonnya,neutral,0.33
ramai banget urang suka ge pas bocah cilik lucu gue,happy,0.19
takut maling,anxious,0.86
salah lucu orang orang ikut sedih ya gue tidak sedih,neutral,0.39
kompor induksi tidak cocok masakan asia masakan indonesia contoh bikin nasi goreng tidak bakal enak pakai kompor induksi nasi goreng butuh panas bara kompor induksi sebar panas banget,neutral,0.29
jawab member nct diri real life jaemin media sosial chenle and haechan emosi renjun laku jisung baku hantam ya kayak jeno mark sempurna jabar ku lucu ek,happy,0.12
semangat,happy,0.12
maklum gila gila cari untung pindah kota gila cari untung uang pasok asing gila cari untung jabat rampok negara satu republik indonesia bangsat,angry,0.96
eh anjing baim baim tau tidak kamu bangsat sibuk kerja tidak sebut oknum digibahin iya gibahin tidak cuma ya allah lucu gue mbabung frik,angry,0.97
jijik kesal marah sedih takut ngerrii arghh,anxious,0.71
semangat trisya happy pekan,happy,0.01
kaget,anxious,0.7
suka sedih orang benci kayak please banget orang orang jahat tidak suka please orang cinta sayang cinta,sad,0.66
berani tidak nyuru jokowi turun mobil suatu tidak jadi kerumun tidak mampu mudah orang larang,neutral,0.32
bangsat tribute no bencana no kalah,angry,0.97
sedih iya terang an bucinin bisa priv,sad,0.69
happy birthday sender wish all the best be happy ya besok gilir hari tidak ada ya tidak apa,happy,0.09
facebook bentar ya aksjsj takut limit,anxious,0.83
banget,happy,0.12
enak mutualan,neutral,0.39
ih enak liburr,happy,0.15
kesal tidak sih anjing dibanguninnya kayak kagetin marah bangsat emosi gue,angry,0.91
bodoh petik nama,angry,0.89
pas bicara kali bilang teman ku suka exo nayeon goblok banget anjing exo grup exo ya bukan ke kali nayeon mangut mangut kayak bangga,angry,0.95
pas sange takut,anxious,0.8
dibebasin main jam pagi ya tau tidak marah was wos diam mending ya tau tidak ada aman kaum hawa,angry,0.91
pagi semangat giat jangan lupa sarap have nice day,happy,0.14
ngeri ganti makam liang,anxious,0.8
pegang rekan buka preloved buku suka detail kayak tidak jadi beli malas kesini sadar zaman jual barang palsu harga normal jual sabar,neutral,0.24
tata bego ya,angry,0.87
tulus mau berengsek bodoh,angry,0.94
ya manajemen rumah sakit ubah biar tidak lempar lempar anjimm orang rumah sakit butuh tangan cepat bukan bolak ribet emosi anjing,angry,0.94
pagi ibuk semangat jalan hari,happy,0.19
iya kaget tau,anxious,0.77
hem benci,angry,0.89
kelas jam tidur takut lupa jamm,anxious,0.79
kompleks kakek jual lap pel memelas cerita sedih kasihan beli harga mahal eh besok garang banget marah kabur nenek emis kasih duit kasih makan ketemu indoapril tukar duit juta,angry,0.91
kasih tau via direct message ya follow akun kadang suka tau orang follow,neutral,0.32
untung bukan kereta api kaget,neutral,0.35
bego,sad,0.73
orang defend kalam mufti bukan ulama muamalat harus,neutral,0.24
takut,anxious,0.78
paham salah aespa bts fan bts alias army suka banget ngehate aespa kayak ya ampun fandom idol umur hobi banget ngrusuh fandom idol umur tahun ya army toxic banget western non asi army asli resek banget,angry,0.97
boom meng sms hyoyeon sapa seta iya kecewa hyoyeon lupa,neutral,0.37
alam saksi teknologi apa banding gejala alam,neutral,0.27
takut case erm,anxious,0.8
sedih,sad,0.67
atur tinggal tunggu kabar baik,neutral,0.36
islamofobis buzzerp anjing pil komunis laku maksiat cari benar laku bi kafir cundang debat teologis akademis lampias dendam kalah,angry,0.92
kabar burung teman sakit,neutral,0.29
happy birthday mbar sehat bahagia ya,happy,0.15
tidak sih semangat mana eh sampai bdmd tau,happy,0.02
oh tumben sepi lucu gue,neutral,0.34
maybe sedih ya pikir pikir bukan hak pc gimanain bukan hak cuz jual barang bayar barang sok barang sepenuh milik,sad,0.64
pas kaget banget banget warganet indonesia record saking kaget beda banget komen orang orang tua lihat ditranslate sedih banget,sad,0.55
lagu sakusa habis putus atsumu habis misuhin lagu ya kali anjing benci ya kali anjing cari mau tidak yang tidak dengan benci,angry,0.94
hadap efek alam terus hadap pikir jernih tidak emosional emosional marah dendam rusak,neutral,0.27
pekan bukan akhir hidup tidak ada uang senang,happy,0.01
hai cv doang kasih surat lamar kerja beda body email surat lamar kerja ya suka susah beda kirim file cv body email kayak lamar kerja takut salah,anxious,0.82
please sedih banget,sad,0.51
sono,neutral,0.33
pagi emosi,angry,0.89
sadar suka banget beli boneka babi tumpuk lemari astaga,anxious,0.73
kaget,neutral,0.2
benci lambat sayang,sad,0.54
kanye suka banget senggol toxic anjing,angry,0.97
fandom tidak jadi malu,neutral,0.2
takut banget positif nongkrong isoman,anxious,0.83
sedih,sad,0.66
dengar dengar rupiah sepi ya,neutral,0.3
deg deg an tidak bisa pikir gugup tingkat tremor,anxious,0.8
sabar je debat orang tolol minim edukasi ya tidak akan habis,neutral,0.35
sok battery kena charge turun pantas kilat hairan time battery nak turun lambat iya,neutral,0.3
takut iya,anxious,0.71
aware isu sehat mental negasin karakter hana bukan denial gengsi tidak punya hati orang trauma seksual sulit jatuh cinta terima jatuh cinta takut,anxious,0.76
meng sedih lucu,sad,0.68
semangat ya deserve be happy anw jangan lupa sarap agas,happy,0.04
tidak apa besok ayo serah jangan semangat,sad,0.73
semangat nge tidak,neutral,0.28
gicafe kopi ginseng stamina pesan pin bb wa,neutral,0.29
aqil enak badan kemarin siang pilek kasihan malam susah tidur mampat,sad,0.79
semangat pagi,happy,0.05
lucu dit jangan pasang muka judes mas anu tidak enak suka kaget banget coy lo teman cakap taksir remah roma kelapa kayak tidak pakai sense,anxious,0.86
pagi semangat tipes,neutral,0.34
kaget banget mam mie tonton all of us are dead scene zombie acak acak usus perutbodohnya gue makan tonton,anxious,0.86
parah,neutral,0.24
hem kemarin tidak papa,neutral,0.24
pagi semangat ya,happy,0.05
semangat,happy,0.15
cowok kayak alas dengar,angry,0.94
selamat kak fik kasih selamat biar tidak sepi sepu,neutral,0.35
posisi sedih waanjai sisi mewgulf sumber bahagia gue candu sisi tau salah malam overthinking ve leave them pergi sumber bahagia gue,sad,0.68
sedih pergi apa mitsuhiko tsuburaya,neutral,0.39
by the way hai all kabar,neutral,0.38
tunggu kabar baikny ya,neutral,0.26
pesan delivery kasihan perut,neutral,0.32
mata nang main handphone cemas panik rasa pas siang asa ku timbul tidak enak kamar kedap ruang hawa angin tidak ada oke banget jalan,neutral,0.26
goblok bangsat,angry,0.94
kali approach reject sedih siot depress natural killer takut natural killer approach kali effect after approach prob terima oke kau kali sedih malu marah and effect life kadang penat natural killer hadap,angry,0.91
buka twitter tumben teume sepi sapa pagi tau pas buka pesbuk sapa pagi anjir tertawa benar hijrah,happy,0.1
beli ojek online cepat banget layan suka kosong,neutral,0.31
bused takut notifnya,anxious,0.89
takut pc kolbuk,anxious,0.75
jujur kesal banget banget anak suka tertawa kayak sumber ketawa sebal banget hem desa orang biasa tertawa atur mulut diam kutuk,angry,0.86
gue benci orang hidup kayak mp lagu,angry,0.95
tolol,angry,0.93
gue kaget ta,anxious,0.89
mesan sistem delivery saran maks kirim banyak minta pesan,neutral,0.33
enak kapal min,happy,0.03
enak,neutral,0.4
alir daftar snm daftar eh tau tau lolos bareng doa ibadah,neutral,0.35
tidak tunggu lebaran minggu besok mgatur orang kerja rumah atur shaft masjid usik tidak adil umat islam sabar marah jangan tanya marah,angry,0.87
benci rugi diri orang benci peduli benci,neutral,0.3
tidak di ajar mulut manis muka suka benci tunjuk sayang bukti bukan yang senyum kebhongan,neutral,0.29
sedih banget,sad,0.76
maaf habis cerita syukur banget bestie kujadiin cerita sedih cerita random tanggap cerita pacar jam jam,happy,0.04
halo cantik curhatin pindah on an kasih advice jujur but still gentle way juluk counselor teman teman jangan ragu ya cerita,neutral,0.34
manchester united kalah emosi ya,angry,0.97
pagi pagi emosi skuad ferrari,angry,1.0
sesal tidak dari suka tau booming banget tarik suka suka exo ya gra teman suka exo exo cari tau,sad,0.71
ayo cepat tau biar jajan,neutral,0.28
bar bar takut kak,anxious,0.72
dengar kabar kageyama jual baju koko tanah abang,neutral,0.28
tidurr takut bablas bentar bimbel,anxious,0.71
tau marah baca au out,angry,0.93
sebar duit dana kaget gesit sikat,happy,0.16
malu malu teman kayak idiot,angry,0.93
suara hina jangan marah hina,angry,0.88
ba lucu pingsan pingsan mun pakai chat kasihan camer angkat berat jangan lama tapi orgnyaa biar kangennyaa luber luberr senengkaan lihat walo marah enggak bpkk lega tidak kayak pikir,neutral,0.31
harus facebook twitter sepi,neutral,0.27
niat bikin iya tvv tahan bimbang ragu,anxious,0.83
sch sender kasih guru sender mak jelbb pas kasih sender kelas suka youtube an ngdrakor susah banget lepas,neutral,0.22
lupa kawan on time bukan budaya iya tidak ontime hati gelisah pas ontime sepi,neutral,0.34
hebat titik patah semangat keluarga,happy,0.14
sangat beda lucu moga sabtu ikut cerah,happy,0.0
terima kasih saudara ramai selamat pekan sehat bahagia,happy,0.04
terkadang anggap pilih salah pilih,neutral,0.2
kenyang banget pukul gue canda suka panggil panggil pakai nama doang habit keluarga beda beda,neutral,0.31
oke berangkat,neutral,0.32
curi malu dengar,anxious,0.71
terima kasih aii sumpah takut paling redha,anxious,0.82
bro real,neutral,0.35
tim bubur topping kacang kedele kecewa dapat,sad,0.57
marah tidak tau,angry,0.98
link tonton tsuma shogakusei naru drama jepang penuh tawa tangis,neutral,0.25
kirim foto bonn cafe,neutral,0.27
bahagia orang bahagia,neutral,0.28
bangun jam sesuai alarm pas bangun panik banget menang kira telat kelas detik kelas jam,anxious,0.74
semangat banget,happy,0.14
manchester united tidak baik syukur prihatin ngab,neutral,0.35
kasihan cewek sedih banget ya pacar cowok jangan begitu anjir gue tau diindo susah ya terima kadang gue suka tutup jangan sakit orang tutup nyata selingkuh oi kasihan cowok cewek,angry,0.98
hai po mirfa yuk uang muka bookslot cicil santai dom tangerang shopee all payment,neutral,0.33
mampus latih dance marah izin,anxious,0.75
bego nyala lilin malam alhasil bangun bangun habis,angry,0.98
untung tidak malu malu,happy,0.06
tidak apa ya semangat,happy,0.04
cerita takut tinggal tidak suka,anxious,0.77
match competitive menang tolol mending uninstall tidak bakat,angry,0.86
bangey beli bulan habis sedih banget mahal cocok lumayan nyobak wardah tidak cocok,sad,0.55
inisial orang suka sayang,neutral,0.24
makan mangga normal matang tidak perlu enak cit mangga matang tambah gula merah garam asem jawa cabe banyak makan matang,neutral,0.37
soobin sedih pelihara sayang ku mati can stop menang kemarin tidak mau minum lemas dokter hewan tinggal ku can lose her wht should,sad,0.57
sedih euy dekade fan manchester united berani sindir rival rival fan manchester united berani sindir arsenal doang tau,sad,0.7
loyo semangat ya iyen jaga sehat jangan lupa,happy,0.2
gugup kayak mati gra tidak bisa nafas,anxious,0.89
haah tidak banyak dapat grup obrol kali kali hela napas udara puluh berita baca kasus sistem database ulang kali kirim pesan kait,neutral,0.35
tidak enak orang pakai kamar mandi jorok kemarin pas ngekos suka temu piring kotor cuci piring,happy,0.1
skripsi teman teman seminar proposal stuck dospem tidak ada kabar minggu alhamdulillah lulus suka tidak sangka,neutral,0.3
twit maksud supportive parah tidak bareng diskusi langsung marah ruang marah marah,angry,0.98
rumah kena umicron an takut,anxious,0.81
lemah lelaki suami tidak bisa sabar kondisi perempuan mandul nikah cari diskriminasi diam tutup aib nafsu muncul penuh jangan sampai tidak sedih banget perempuan,sad,0.7
direct message mules takut blok,anxious,0.81
sedih banget anna,sad,0.6
tertawa emosi,happy,0.07
pagi semangat ya,happy,0.03
kak vil cepat sembuh semangat recoverynya biar susul jimin sembuh,happy,0.13
akun dibokir,neutral,0.38
amin allahumma amin doa emak ya sehat bahagia ya emak,happy,0.04
ongkirnya bikin kaget,anxious,0.71
alah tolol ngang ngeng ngong hilang,angry,0.91
agama lurus tuhan maha esa bengkok orang bodoh sesat surat pemberitahuan tahun zaman motif penting perut,angry,0.85
another manusia tolol cocok kebiri,angry,0.98
benci presiden senyum prasangka benci tidak lintas dendam sedikit ikhlas beliau super sabar nabi muhammad saw benci yahudi hindun islam rahmat lil alamin,neutral,0.34
jus oreo tidak akan enak tidak pakai filling,neutral,0.24
lahya marah lucu,happy,0.09
alhamdulillah jimin pagi kabar,happy,0.06
pas main pakai baju haram bikin malu rumah kerudung gilir buka buka banyak orang kerudung daerah rumah warung suka malas hijab wajib tutup aurat,neutral,0.4
senang banget mantap,happy,0.14
pacar antigen dewasa gejala mild kayak flue,neutral,0.25
puji tuhan senang banget pagi pagi kabar jimin pulang rumah,happy,0.02
hubungane bangsat,angry,0.93
semangat ya deserve be happy anw jangan lupa sarap adet,happy,0.04
tonton kecewa,sad,0.78
asli sedih banget tahi,sad,0.58
blaja keje gaul benci gan perangai terima kasih everyone contoh baik,angry,0.93
faisal basri kesal sangat habis bakhun bela jokowi pakai gigi gaspol live omong pas live ya keluar aji pamungkas,angry,0.93
tolol lupa bawa perangkat alat mandi,angry,0.88
sontek pas uji seni musik ya allah percaya sekolah anak takut ridi musik ketimbang ajar eksakta susah malas banget guru killer antero sekolah,anxious,0.79
pas syuting lucu banget suka canda bareng jisoo,happy,0.19
nder ayo semangat,happy,0.03
santai gagal bro habis makan biar tidak badmood,neutral,0.39
harga ada gue mau diturutin gilir gue tidak diturutin gilir marah salah aduh ya allah,angry,0.86
hitam putih buruk kalah menang sedih bahagia,neutral,0.28
suka main game online butuh banget internet cepat rumah internet lancar main game lancar untung rumah pasang indihome,happy,0.03
facebook unfollow alah bijak bodoh,angry,0.99
kaget doang tidak guna banget,angry,0.93
bayang anak sedih tengok ryan,sad,0.64
kelola tambang indonesia,neutral,0.24
lucu sedih banget tau,sad,0.71
aldebaran drama andin kena marah warga ponpel andin drama aldebaran kena marah warga ponpel botol ketemu tutup kuat ya aladinku,neutral,0.21
sepi banget tumben,sad,0.8
enak ya kakak,happy,0.06
iya kaget banget pikir suka gue,anxious,0.81
sepi conge,angry,0.91
pagi pagi antuk,neutral,0.29
sinyal suka banget bapuk iya emosi allahu,angry,0.87
pagi bang jon bukan nih kangen oceh bang jon sepi banget lini admin,sad,0.74
gelisah sekolah positif overall kook hbu,anxious,0.78
tolol banget nder,angry,0.97
sapol takut yong drop,anxious,0.72
senang sedih pergi kenal ibu bidadari,sad,0.79
marah mulu asa,angry,0.94
kadang tetangga suka reseg eh nikah ih kesal banget nikah bukan lomba by the way jual spotify premium app premium yuk buru order,neutral,0.31
guye sedih banget kucing tinggal,sad,0.68
jangan marah marah nama sepak bola wasit manusia bikin salah dada ya lord,angry,0.94
lucu takut banget gigit,anxious,0.72
berita bangkai eks tidak punya malu keheed keheed jangan sampai anak cucu kayak najiiss,angry,0.89
amin ayo semangat,happy,0.02
terus jangan takut,neutral,0.25
enak tidur,neutral,0.24
ermm berat je ilmu takut capai ilmu silat,anxious,0.72
poin oke poin lo cowok marah baca,angry,0.86
tonton sedih sedih tidak bisa baca judul kampret,sad,0.57
dihimbau lindung khawatir jatuh sakit hadir wacana pandemi tes intelligence quotient,neutral,0.39
selamat pagi sender alec sesuai banget kriteria main fc jaehyun side fcnya juyeon bukan orang cuek dingin pasang sangat talkative suka diskusi,happy,0.06
brown keong cup cocok banget suka barang cantik unik,happy,0.19
alhamdulillah pagi pagi kabar,happy,0.07
bikin speechless gila,neutral,0.27
erick thohir hebat applause,happy,0.18
istimewa malu kabar komisaris ahok cc,neutral,0.3
benci,angry,0.88
ustad tidak boleh dendam ulama dukung total penjara,neutral,0.23
suka romansa jolly wangi manis pas manis banget charming lembut manis banget tidak terlalu manis coba fantasia freshy aroma manis beda tidak lembut manis nyegerin this is my opinion,happy,0.05
tau enak direct message blok,sad,0.76
dokter bimbing demanding suka banget,happy,0.1
bangkai ptmt kelas sepi banget anjir,angry,0.88
tidak malu,neutral,0.29
sedih banget isi ciba biar tidak kosong,sad,0.52
tau alah tolol banget finishingnya busuk asli lapang nguasain tanding nyeselkan absen trophy musim mengcape,angry,0.91
pas lihat lirik rasa mark sungguh sedih jahat depress idol hilang child karya kadang hujat,sad,0.6
tidak terima anjing maksud buka baju kaget anjing,angry,0.96
minyak harga awang awang produksi minyak,neutral,0.38
ayo ikan noon,neutral,0.39
tinggal like marah,angry,0.87
brengski gue benci banget matek,angry,0.86
ujunga bangkai buanga duit tidak guna tidak ada satu proyek sukses kesall tabok,angry,0.92
serius wa tidak terima berondong malu,neutral,0.4
benci banget orang,angry,0.88
gea harga sedih tim tolol,angry,0.94
takut percaya bismilah yuk yuk,neutral,0.22
sedih akun belah dfb convomf convomfs moviemenfess beame,sad,0.74
baca komentar sungguh uras emosi anjing,angry,0.98
consent lucu pikir consent muncul trust trust iring consent consent trust simpel lucu,neutral,0.4
aduh adik bangsat kasih duit infak dijajanin,angry,0.87
tidak pernah gagal tidak akan ajar salah jangan takut salah,happy,0.12
malu,anxious,0.83
sepi ya,neutral,0.22
gue taurus ya tau banyak taurus keras kepala banget banget egois sok cuek bawa asa cinta taurus susah buka hati temu suka sreg budak cinta banget putus,neutral,0.38
makan suka makan suka suka ayam kali mentioned ayam livenya,neutral,0.2
bangsat off target,angry,0.99
baik balas dendam maaf,neutral,0.36
sedih banget orang kayak ku ulek tau manusia bukan sih,sad,0.59
luka takut cinta untuk,anxious,0.76
huhu iya sedih tidak rela,sad,0.57
keringet reaksi tubuh normal tidak bisa kontrol atur susah banget orang gampang keringetan kayak duduk diam suka keringetan pas istirahat pilih duduk diam biar tidak keringetan lucu,neutral,0.26
akwjajshwhw bilang emak eren doang normal eh beliau perut istri,neutral,0.23
timbang tidak deactivate logout apps akun alter ya lepas kemarin puas main direct message buka tidak tau balas dmnya,neutral,0.35
takut banget casenya,anxious,0.86
lucu keliling liyue saru kayak npc entar besok wanwen book store selamat obrol ayah,neutral,0.34
iya gara gara capai ya tidur cepat,neutral,0.34
aowkowkwok sedih biasa mari tertawa,happy,0.15
hamdallah panik banget ya,anxious,0.72
haus tahan lapar,neutral,0.36
jangan keluh hidup terkadang rasa sakit syukur bahagia,neutral,0.3
happy birthday moa taehyun moga umur sehat bahagia,happy,0.17
breadtalknya kasih teman tidak suka abon aneh lucu beli cust,neutral,0.33
sabtu suka banget lelah,neutral,0.37
gue kaget serius,anxious,0.9
angel chibi terima kasih hari bahagia indah hidup singkat,happy,0.03
tidak usah takut angkat tangan bilang maaf but have question,neutral,0.33
ujar ujar bangsat ujar kunyuk,angry,0.99
sedih banget pagi pagi,sad,0.6
bayang ryo ani aced tau kena marah lyan gelut tiga,angry,1.0
komentar tidak jauh normal sakit hati gue baca,sad,0.68
tidak ada hantu rem psikopat sekitar bunuh episode takut hantu vibesnya,anxious,0.82
semangat chingu,happy,0.04
saksi orang orang ber angan angan narasi radak koyak nalar,neutral,0.2
maklum brutal,neutral,0.4
tebak kayak emosi baca,angry,0.94
amin semangat ngeba sayang,happy,0.12
beli lupa nama banyak soalnha enak,sad,0.78
jangan sedih promosi tidak pandai cari muka muka hati,neutral,0.38
iya andin ngomong mak kandung pikir reyna tau kandung senang kali ya lucu gue tidak ingat buang anak takut reyna marah aneh magadir kak,neutral,0.36
alhamdulillah kabar,happy,0.15
rekan partner shohib ku this is sabtu santai enjoy,neutral,0.22
emosi tegak post owner mati kucing akibat virus parvo bukan emosi sebak emosi nak marah tolong vaksin kucing tau pntgnya vaksin kucing,angry,1.0
athan sehat bahagia oke,happy,0.06
tidak apa beli skinnya orang tidak apa sedih banget anjing arghh menang,sad,0.66
suka sudu suka garfu marah,neutral,0.32
semangat papa pimpin senam,happy,0.11
dulukan asa takut kecewa,anxious,0.81
kah dengar cerita kbahagian hakiki dunia fana senang hakiki sedih laki tidak kuat lemah cari nafkah layak tinggal pergi usir,neutral,0.28
bukan cinta suka persaudaran jalin jangan sampai lepas ingat lupa baik ku tunggu salatiga tidak pernah kontaka an moga baca ya,neutral,0.23
arti mimpi gali kubur takut takut alami mimpi gali kubur,neutral,0.31
pura pura tidak tau bohong hakiki pura pura bodoh tahu biar tunjuk,angry,0.87
selamat ulang bo moga sehat bahagia ya,happy,0.05
sedih takut bego,sad,0.63
tidak terlalu kecewa ya tidak senang,sad,0.69
denise moga bahagia iya,happy,0.05
gue,neutral,0.25
break tidak mau kecewa kali ketemu tulus,anxious,0.89
min mending pc dibanyakin jadi rugi tidak jadi kontrak dreamies tahun banyak pc nct dream tahun bagi sedih tidak dapat photocardnya,sad,0.76
bahagia,happy,0.07
jago middlesbrough enak cristiano ronaldo lucu,happy,0.03
malu banget makxskxj pacar hyomin anjir,anxious,0.88
semangat dinda,happy,0.18
tertawa bahagia sedih apa,neutral,0.29
kadang bilang perempuan jangan lah bego bego kali laki laki doang tidak worth cantik pintar sifat senang cowok stop sakit,neutral,0.3
min tidak usah bolak lampu modem jaring modem normal mati,neutral,0.25
takut banget moga tidak kenapa,anxious,0.82
park shin hye son yejin bagi kayak ratu drama sedih,neutral,0.36
pagi pagi bangun fucked up bodoh,angry,0.95
baca kira analisis boom hasil pikir otak pendek tolol,angry,0.98
jangan pernah harap penuh jujur pilu bahagia palsu,neutral,0.33
otak balas dendam saraf fungsi half zombie,neutral,0.3
benci banget,angry,0.87
benci banget pikir kawan mninggoy abjingkk,angry,0.89
orang tua bahagia curah kasih sayang batas,happy,0.02
butuh sayang biar semangat skripsi,happy,0.07
india lumayan ngeri korea bahaya hong kong ya,anxious,0.85
tibe kena marah,angry,0.98
simpang air putih antre kendaran normal empat kaki simpang situasi arus lintas lancar,neutral,0.21
ju mbl mbl murah banget loochh ayo guys join go miracle suka jajan murah rd open sh ring merch open tabung coba bangtan jimin unyel yuk gas join link rep ya,neutral,0.21
jeje galak banget gue takut,anxious,0.89
ya sedih,sad,0.53
pas mahasiswa pulang ngelewatin batas provinsi jam malam batas hutan bukit sepi truk gede jarang banget motor tidak ada kali motor jam jam kota,neutral,0.38
kelas ya kayak kelas sesi ribut banget sesi sepi banget huhu hobi ngevlog kelas giat vlog,neutral,0.24
kabar ya hilang hilang,neutral,0.3
semangat gue kasih minum,happy,0.12
mohon izin kurikulum isi semester min,neutral,0.34
kirim foto depok,neutral,0.39
cerah larang serah,happy,0.1
acc enak banget,happy,0.03
suka idola tsukipro buta tsukiuta suka banget six gravity dengar drama celana tonton animenya jalar grup kayak solids growth vazzy infinit,happy,0.06
semangat jangan lupa sarap,happy,0.03
deg deg guys takut bahasa inggris ku lepot,anxious,0.81
cerita kat laki pasal mimpi malam mesti kena marah,angry,0.92
sedih banget,sad,0.7
sedih banget kakak,sad,0.69
pull bear uniqlo sok far suka uniqlo awett pol tahun bagus banget tau gambar grembel grembel bahan resletingnya rusak,neutral,0.38
orang benci orang ngroko ngevape pakai pod mana tempat benci,angry,0.9
ajar anak lelaki tolong opini jangan lewat tolol,angry,0.98
rizki orang urus coba bayar ceramah bayar sekian malu bicara hasil orang oleh sah tidak atur negara,angry,0.93
senang hambat hidup tidak boleh bahagia ya,happy,0.09
marah malu benjamin franklin,neutral,0.28
santai kamar,neutral,0.34
baca tulis jangan baca hati asa,neutral,0.31
tidak kaget deserve,neutral,0.36
sayang tidak suka ya pacar mu acara meet and greet harap harga asa fan tidak mau acara kacau pacar mu,angry,0.95
jangan malu foto real real gambar jamin cocok tidak dewan wakil daerah kecewa beda foto jaman app edit foto jahat,angry,0.9
takut banget lo cacing panas ahah,anxious,0.84
sender suka banget member era era sehenernya pilih sulit member cakap era apa lucu versi,neutral,0.29
tolol banget lihat,angry,0.96
semangat dhii rest well ya,happy,0.04
bangsat member malik anjim,angry,0.9
moga menang,neutral,0.22
ratus woi lubang bekas tambang kawasan kota negara ikn nusantara luas ribu hektare lubang hasil total konsesi usaha tambang,neutral,0.29
ya ya suka salah galau sedih cemas tinggal karaoke hobi,sad,0.76
enak ya kapel hfft chrissy coba kapel,sad,0.5
jurang,neutral,0.22
trackinga normal price rate ems gram air cargo gram fee tracking tracking free foto arrived amplop buka kirim rutin cek go proof angkut testimoni direct message adm,neutral,0.3
tidak sebal dunia reinernajskakeksbaku marah anjing teriak ngentot keras keras,angry,0.97
nasi godong jati enak banget mbak,happy,0.02
sensitif pakai kf kak by the way terima kasih ya,neutral,0.26
pasang muda mud tonton bioskop cewek bisik mas orang onani belah cuekin cowok tidak enak mas paksa pakai tangan takut,anxious,0.83
kd sedih pusing pang,sad,0.63
tolong banget join pinned ya besti sepi banget yuk sempat menang,neutral,0.24
anak keren gabung jamin puas,happy,0.06
happy pekan mbak noni bahagia,happy,0.08
ajhshs sedih banget menang,sad,0.51
susu ku minum dymatize,neutral,0.3
aduh butuh gulung film ready sedia fdi takut tidak sampai sabtu huee,anxious,0.77
pas kirim pas banget baca anjengg malu banget untung tidak kasih lihat nama kirim,anxious,0.88
ya semangat,happy,0.2
tonton biar tidak sedih ghosting,sad,0.69
tidak ada bikin senang kabar jimin sedih banget berita sakit pikir tidak tenang tidur,sad,0.7
masuk sekolah kayak,neutral,0.28
kunjung daerah surat pemberitahuan tahun jamin sepi kerumun tidak ada masyarakat kunci jangan yang daerah biar daerah,neutral,0.26
emosi mulu kayak ahok,angry,0.98
guru campur campur aksen anjir suka teliti banget liattin gerak bibir,angry,0.91
facebook tidak enak banget,angry,0.98
gatauu sedih lihat foto cowok ganteng,sad,0.54
anjir sakit tenggorok tidak enak badan tulang linu pikir kena cvd takut,anxious,0.75
disgusting poligami izin agama cegah zina rasul poligami bukan sama wanita muda janda lindung bukan buat ngewe halal tolol,angry,0.95
takut harap orang takut kecewa,anxious,0.85
pagi menang menang metawin moga solo projek solo endorsement series projek projek bikin menang bahagia,happy,0.08
kak sf keren jujur takut seru,happy,0.2
allah benci banget gwinam,angry,0.88
semangat senpaii,happy,0.18
tolong jangan lihat rep malu untung hapus,anxious,0.83
takut teman tinggal plek tempel pupil kecuali tangan gatal kucek mata ya jangaan nyopotinnya tidak perih kayak cubit,anxious,0.73
manggarai kereta kaget peron,anxious,0.8
suka bujuk ya kasih habis bujuk,neutral,0.2
sedih,sad,0.54
kasihan sedih cari aman foto unggah tidak jangan dunia homo,sad,0.58
lucu main anak house temu gryffindor keluarga anak gryffindor michaelis sadar tidak punya teman anak ravenclaw mau teman,neutral,0.25
tidak dong beli loyang biji kemarin lucu lucu beli enak kasih incip tetangga tidak jadi beli besok tidak bisa langsung ngovennya,happy,0.11
warning bodoh tikus just brushed my leg,angry,0.93
lelah sedih kecewa juang tidak pernah sesuai harap,sad,0.69
bukan orang kayak orang senang tidak punya harta bahagia obay kusut cowok mudah kenal sukar lupa salam rock gulung,neutral,0.37
no eter niat cari kembar sedih banget,sad,0.59
fase suasana hati melow menang marah tidak bisa grutu pura pura bicara lelah,sad,0.58
suka banget bandnya pilih konser,neutral,0.27
kahar muzakar lahir jusuf kalla selisih nalar tidak masuk akal pemuda umur cicit dasar character assassination sah orang ngeritik serang pribadi negara,neutral,0.37
ptm bangkee enak arghh,angry,0.94
tidak apa nak gala jakarta urus tunduk ratap tindak alih alih tidak tukar kabar embun,neutral,0.38
kucing gue steril kurung rumah kabur main rumah tetangga sinting langsung gue kejar eh harap tidak ketemu tau sapa ketemu amnjing bangsat,angry,0.97
bilang kicep takut malu saadd kasad,anxious,0.81
lucu lucu semangat nguli cla,happy,0.07
halo mana semangat ya langit langit moga takut tidak jadi ya moga capai bingung cerita siapa maybe cerita be happy,happy,0.09
